File1_dq_no,File1_client_acct_id,File1_msisdn,File1_customer_type,File1_bill_day,File1_group_plan_name,File1_group_plan_date,File1_rate_plan_name,File1_rate_plan_date,File1_general_device_oli_id,File1_general_device_aria_instance_no,File1_general_device_plan_date,File1_inst_id,File1_inst_status,File1_inst_promo_bal,File1_inst_nbr_promos_inv,File1_inst_nbr_promos,File1_inst_promo_monthly_amt,File1_credit_amount,File1_rec_credit_number,File1_created_date,File1_credit_status,File1_credits_completed,File1_credits_remaining,File1_discrepancy_reason,File1_DV First Observed,File1_DV Status,File1_DV Age,File1_Ticket Info,File2_Invoice Number,File2_BAN,File2_Aria Account Number,File2_Invoice Date,File2_Amount,File2_Bill Date,File2_Invoice Status,File2_Service Period,File2_No. of Line Items,File2_Notes,File2_Prebilling Status,File2_Prebilling Issues,File2_Instance,File2_Auto Approve Date,File2_Approved By,File2_Invoice Approved Date,File2_Bill Period,File2_Charge Amount,File2_Credit Amount,File2_Net Amount,File2_Business Unit,File2_Customer Type,File2_Customer Class,File2_Invoice Variance %
DQ-0000165,23765818-23764077,17874232410,B2C,3,PR_B2C_Unlimited_Your_Way,11-03-2025,PR_B2C_ULT_Premium_MB_Line,11-05-2025,802Pl00000hts2DIAQ,6025174,11-12-2025,Installment_ID - 5034168032168032,Active,972.21,1,36,27.78, , , , , , ,No recurring credit record exists for BAN/CAN + plan instance in recurring credits table,12/02/2025 05:13 PM,Existing,5 days,,15273342,23765818-23764077,1451996,45994.315351122685,306.98,45994.315351122685,Pending,3,147,Invoice NOT auto approved in Pre-billing-validation,Failed,09: Promotion is missing for plan instance 6025174,6025174,45994.315351122685,,,2025-12-03 - 2026-01-02,735.97,428.989970703,306.98,PR13,B2C,,-32.393151335
DQ-0000165,20451559-21451559,17876430015,B2C,6,PR_B2C_Unlimited_Your_Way,12-10-2023,PR_B2C_ULT_Premium_MB_Line,12-05-2025,802Pl00000l0NpaIAE,6080162,12-05-2025,Installment_ID - 9367183980183980,active,527.74,17,36,27.78, , , , , , ,No recurring credit record exists for BAN/CAN + plan instance in recurring credits table,12/06/2025 08:32 AM,Existing,2 days,,15292851,20451559-21451559,414339,45997.26733109954,262.18,45997.26733109954,Pending,6,73,Invoice NOT auto approved in Pre-billing-validation,Failed,09: Promotion is missing for plan instance 6080162,6080162,45997.26733109954,,,2025-12-06 - 2026-01-05,464.97,202.790001221,262.18,PR13,B2C,,-19.667716464
DQ-0000165,43538875-43539091,17875126015,B2B,8, , ,PR_BUSINESS_UPICK_PLUS,02-05-2024,8024X00000ByPBkQAN,2673757,02-05-2024,Installment_ID - 280000058814088,ACTIVE,23.9,34,36,11.95,12.58,417432,05/03/2024,"Credits Created, Complete",19,0,Recurring Credit frequency does not match with Promotion term,12/04/2025 10:53 AM,Existing,4 days,,15314918,43538875-43539091,559841,45999.339101157406,527.44,45999.339101157406,Pending,8,130,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 2673757",2673757,45999.339101157406,,,2025-12-08 - 2026-01-07,637.44,110.000002441,527.44,PR13,B2B,SOHO,-2.443382667
DQ-0000165,21061070-20061066,17876918296,B2C,8,PR_B2C_Unlimited_Your_Way,11-17-2023,PR_B2C_ULT_Premium_MB_Line,11-17-2023,8024X00000A5QLMQA3,1121721,11-17-2023,Installment_ID - 160000057535965,ACTIVE,50.1,30,36,8.33,10,118579,11/28/2023,"Credits Created, Complete",24,0,Promo amount and recurring credit amount mismatch after truncation with ±1 tolerance | Recurring Credit frequency does not match with Promotion term,12/04/2025 10:53 AM,Existing,4 days,,15311605,21061070-20061066,366004,45999.306298842595,279.91,45999.306298842595,Pending,8,41,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 1121721",1121721,45999.306298842595,,,2025-12-08 - 2026-01-07,313.47,33.560001221,279.91,PR13,B2C,,-6.795116368
DQ-0000165,21011762-20011758,17876908945,B2C,8,PR_B2C_ATT_Unlimited_Pro_Offer,11-16-2023,PR_B2C_ATT_Unlimited_Pro,11-16-2023,8024X00000A95cbQAB,1083165,11-16-2023,Installment_ID - 160000057722336,ACTIVE,50.1,30,36,8.33,10,118569,11/28/2023,"Credits Created, Complete",24,0,Promo amount and recurring credit amount mismatch after truncation with ±1 tolerance | Recurring Credit frequency does not match with Promotion term,12/04/2025 10:53 AM,Existing,4 days,,15309935,21011762-20011758,362398,45999.29247010417,446.74,45999.29247010417,Pending,8,115,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 1083165",1083165,45999.29247010417,,,2025-12-08 - 2026-01-07,486.19,39.450002441,446.74,PR13,B2C,,8.217939763
DQ-0000165,43532194-43532892,17876401772,B2B,8, , ,PR_BUSINESS_UPICK_PLUS,01-23-2024,8024X00000D82NzQAJ,3621685,05-03-2024,Installment_ID - 280000067478103,ACTIVE,141.92,22,36,10.14,10.14,414534,05/03/2024,"Credits Created, Complete",19,0,Recurring Credit frequency does not match with Promotion term,12/04/2025 10:53 AM,Existing,4 days,,15317036,43532194-43532892,518177,45999.359339780094,817.47,45999.359339780094,Pending,8,154,Invoice NOT auto approved in Pre-billing-validation,Failed,09: Promotion is missing for plan instance 3621685,3621685,45999.359339780094,,,2025-12-08 - 2026-01-07,870.25,52.78,817.47,PR13,B2B,SOHO,-8.294253239
DQ-0000165,23692872-23691541,17876345084,B2C,8, , ,PR_B2C_Standalone_UNL_Tablet_Line,11-10-2025,802Pl00000iKhVhIAK,6020213,11-10-2025,Installment_ID - 114938976389763,Active,95.84,1,24,4.16, , , , , , ,No recurring credit record exists for BAN/CAN + plan instance in recurring credits table,12/02/2025 05:13 PM,Existing,5 days,,15314774,23692872-23691541,1034133,45999.33768966435,143.05,45999.33768966435,Pending,8,54,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 6020213",6020213,45999.33768966435,,,2025-12-08 - 2026-01-07,223.05,80.000003052,143.05,PR13,B2C,,90.652953745
DQ-0000165,43554030-43553674,19395926589,B2B,28, , ,PR_B2B_Liberty_BUS_UNL_Wearable,04-10-2024,8024X000008yKRtQAM,3557009,04-10-2024,Installment_ID - 280000057694431,ACTIVE,20,34,36,10,10,407035,04/26/2024,"Credits Created, Complete",18,0,Recurring Credit frequency does not match with Promotion term,12/04/2025 10:53 AM,Existing,4 days,,15291995,43554030-43553674,620728,45996.6307622338,537.77,45996.6307622338,Pending,28,105,Invoice NOT auto approved in Pre-billing-validation,Failed,09: Promotion is missing for plan instance 3557009,3557009,45996.6307621875,,,2025-11-28 - 2025-12-27,688.34,150.570026855,537.77,PR13,B2B,SOHO,-1.894764765
DQ-0000165,43538601-43538730,19396304576,B2B,8, , ,PR_BUSINESS_UPICK_SMART,02-05-2024,8024X00000ByIZSQA3,2669768,02-05-2024,Installment_ID - 280000067012856,ACTIVE,83.34,22,24,41.67,41.67,419418,05/03/2024,"Credits Created, Complete",19,0,Recurring Credit frequency does not match with Promotion term,12/04/2025 10:53 AM,Existing,4 days,,15314892,43538601-43538730,559631,45999.3406122338,462.88,45999.3406122338,Pending,8,117,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 2669768",2669768,45999.3406122338,,,2025-12-08 - 2026-01-07,616.07,153.190007324,462.88,PR13,B2B,SOHO,-9.924244223
DQ-0000165,21084282-20084278,17874397978,B2C,8,PR_B2C_Unlimited_Your_Way,10-10-2024,PR_B2C_ULT_Starter_MB_Line,10-10-2024,802Pl00000blU5NIAU,5904276,09-06-2025,Installment_ID - 1795308087308087,ACTIVE,733.33,3,36,22.22, , , , , , ,No recurring credit record exists for BAN/CAN + plan instance in recurring credits table,12/02/2025 05:13 PM,Existing,5 days,,15316453,21084282-20084278,509237,45999.352539618056,128.92,45999.352539618056,Pending,8,47,Invoice NOT auto approved in Pre-billing-validation,Failed,09: Promotion is missing for plan instance 5904276,5904276,45999.352539618056,,,2025-12-08 - 2026-01-07,201.41,72.490003662,128.92,PR13,B2C,,15.083651693
