Invoice Number,BAN,Aria Account Number,Invoice Date,Amount,Bill Date,Invoice Status,Service Period,No. of Line Items,Notes,Prebilling Status,Prebilling Issues,Instance,Auto Approve Date,Approved By,Invoice Approved Date,Bill Period,Charge Amount,Credit Amount,Net Amount,Business Unit,Customer Type,Customer Class,Invoice Variance %
15255091,21011237-20011233,360791,45993.30727800926,327.09,45993.30727800926,Pending,2,59,Invoice NOT auto approved in Pre-billing-validation,Failed,09: Promotion is missing for plan instance 5482702,5482702,45993.30727800926,,,2025-12-02 - 2026-01-01,367.65,40.559993896,327.09,PR13,B2C,,-4.870150689
15292017,43539254-43539452,560228,45996.63110023148,291.44,45996.63110023148,Pending,4,60,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 2675095",2675095,45996.63110023148,,,2025-12-04 - 2026-01-03,291.44,0.000002441,291.44,PR13,B2B,SOHO,-4.985590778
15295309,21158949-20158944,473529,45997.28663287037,227.93,45997.28663287037,Pending,6,56,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 5917280",5917280,45997.28663287037,,,2025-12-06 - 2026-01-05,265.43,37.499992676,227.93,PR13,B2C,,5.969471947
15305773,43549685-43549650,606576,45998.571302233795,157.21,45998.571302233795,Pending,6,52,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 5891723",5891723,45998.571302233795,,,2025-12-06 - 2026-01-05,219.44,62.230002441,157.21,PR13,B2B,SOHO,0
15306063,51084721-50045220,632711,45998.656561111115,192.41,45998.656561111115,Pending,5,34,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 5929831",5929831,45998.656561111115,,,2025-12-05 - 2026-01-04,192.41,0.000003662,192.41,PR14,B2C,,0
15307066,20730084-21730084,212243,45999.26799695602,185.94,45999.26799695602,Pending,8,46,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 3693864",3693864,45999.26799695602,,,2025-12-08 - 2026-01-07,254.96,69.020006714,185.94,PR13,B2C,,0
15308018,21062558-20062554,300492,45999.27627199074,126.03,45999.27627199074,Pending,8,26,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 713697", 713697,45999.27627199074,,,2025-12-08 - 2026-01-07,136.03,9.999998779,126.03,PR13,B2C,,-18.851376839
15308121,21155720-20155715,300541,45999.27719302083,267.28,45999.27719302083,Pending,8,49,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 715981", 715981,45999.27719302083,,,2025-12-08 - 2026-01-07,310.34,43.059996338,267.28,PR13,B2C,,6.584649797
15309251,41002140-40004488,1453517,45999.28822086805,412.52,45999.28822086805,Pending,7,54,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 6038499",6038499,45999.28822086805,,,2025-12-07 - 2026-01-06,429.19,16.670002441,412.52,PR13,B2B,SOHO,-99.748208406
15309606,21038123-20038119,423124,45999.288724108796,153.76,45999.288724108796,Pending,8,43,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 4996073",4996073,45999.288724108796,,,2025-11-08 - 2025-12-07,188.76,34.999994507,153.76,PR13,B2C,,0
15310059,21142016-20142011,362597,45999.28906203704,106.64,45999.28906203704,Pending,8,28,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 1084732",1084732,45999.28906203704,,,2025-12-08 - 2026-01-07,130.2,23.559996948,106.64,PR13,B2C,,-6.067236921
15309651,20269098-21269098,419351,45999.28951747685,161.26,45999.28951747685,Pending,8,52,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 5924908",5924908,45999.28951747685,,,2025-12-08 - 2026-01-07,252.35,91.090006104,161.26,PR13,B2C,,2.106477266
15310039,21061658-20061654,419464,45999.292966469904,179.64,45999.292966469904,Pending,8,67,Invoice NOT auto approved in Pre-billing-validation,Failed,09: Promotion is missing for plan instance 3670356,3670356,45999.292966469904,,,2025-12-08 - 2026-01-07,333.29,153.650008545,179.64,PR13,B2C,,0
15310513,21064815-20064811,363619,45999.29610266204,194.46,45999.29610266204,Pending,8,70,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 3500161",3500161,45999.29610266204,,,2025-12-08 - 2026-01-07,294.03,99.569998779,194.46,PR13,B2C,,4.997801554
15311082,21082767-20082763,365183,45999.303050891205,267.3,45999.303050891205,Pending,8,45,Invoice NOT auto approved in Pre-billing-validation,Failed,09: Promotion is missing for plan instance 1122401,1122401,45999.303050891205,,,2025-12-08 - 2026-01-07,287.03,19.729998779,267.3,PR13,B2C,,-3.753444863
15311418,21014410-20014406,318301,45999.30491304398,270.95,45999.30491304398,Pending,8,58,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 806220", 806220,45999.30491304398,,,2025-12-08 - 2026-01-07,313.44,42.490002441,270.95,PR13,B2C,,-12.628341023
15311520,21297232-20228680,477213,45999.30667164352,246.89,45999.30667164352,Pending,8,52,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 1917871",1917871,45999.30667164352,,,2025-12-08 - 2026-01-07,275.63,28.740004883,246.89,PR13,B2C,,-0.101362309
15311709,21132416-20132412,320909,45999.307662997686,44.32,45999.307662997686,Pending,8,6,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 4342329",4342329,45999.307662997686,,,2025-12-08 - 2026-01-07,44.32,-3.05e-7,44.32,PR13,B2C,,95.206990526
15312462,21178699-20178693,493864,45999.31677237269,418.15,45999.31677237269,Pending,8,67,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 2045531",2045531,45999.31677237269,,,2025-12-08 - 2026-01-07,445.92,27.770013428,418.15,PR13,B2C,,-8.799729399
15313014,43530054-43529781,496891,45999.32056299769,2957.5,45999.32056299769,Pending,8,622,Invoice NOT auto approved in Pre-billing-validation,Failed," 
09: Promotion is missing for plan instance 5903316",5903316,45999.32056299769,,,2025-12-08 - 2026-01-07,3856.42,898.919921875,2957.5,PR13,B2B,LE/CE,0.431603329
15313476,21018633-20018629,523130,45999.32781018518,327.17,45999.32781018518,Pending,8,87,Invoice NOT auto approved in Pre-billing-validation,Failed,09: Promotion is missing for plan instance 5916322,5916322,45999.32781018518,,,2025-12-08 - 2026-01-07,515.23,188.059980469,327.17,PR13,B2C,,-13.754737318
15316205,21071394-20071390,595637,45999.34915829861,149.68,45999.34915829861,Pending,8,70,Invoice NOT auto approved in Pre-billing-validation,Failed,09: Promotion is missing for plan instance 3640443,3640443,45999.34915829861,,,2025-12-08 - 2026-01-07,271.02,121.339989014,149.68,PR13,B2C,,0
